"singular","plural","gender","translation","mistakes"
"-","брюки","p","pantalones",11
"-","деньги","p","dinero",11
"-","духи","p","perfume",11
"-","каникулы","p","vacaciones",11
"-","ножницы","p","tijeras",11
"-","очки","p","gafas",14
"-","часы","p","reloj",10
"-","шахматы","p","ajedrez",11
"Врач","Врачи́","m","medico",11
"карандаш","́Карандаши","m","lápiz",11
"Нож","Ножи́","m","cuchillo",11
"Урок","Уро́ки","m","lección",11
"баскетбол","-","m","baloncesto",11
"вода","-","f","agua",11
"здание","здания","n","edificio",17
"имя","имена","n","nombre",15
"история","истории","f","historia",9
"лампа","лампы","f","lámpara",11
"лицо","лица","n","cara",10
"любовь","-","f","amor",11
"масло","-","n","aceite, manteca",11
"мебель","-","f","mueble",11
"молоко","-","n","leche",11
"море","моря","n","mar",10
"музей","музеи","m","museo",8
"неделя","недели","f","semana",11
"ненависть","-","f","odio",11
"ночь","ночи","f","noche",11
"обувь","-","f","calzado",11
"посуда","-","f","vajilla",11
"словарь","словари","m","diccionario",8
"стол","столы","m","mesa",10
"счастье","-","n","felicidad, suerte",11
"теннис","-","m","tenis",11
"футбол","-","m","fútbol",10
