"singular","plural","gender","translation","mistakes"
"-","брюки","p","pantalones",8
"-","деньги","p","dinero",12
"-","духи","p","perfume",16
"-","каникулы","p","vacaciones",7
"-","ножницы","p","tijeras",5
"-","очки","p","gafas, lentes",9
"-","часы","p","reloj",11
"-","шахматы","p","ajedrez",9
"баскетбол","-","m","baloncesto",4
"велосипед","велосипеды","m","bicicleta",8
"вилка","вилки","f","tenedor",10
"вода","-","f","agua",10
"врач","врачи","m","medico",6
"гитара","гитары","f","guitarra",10
"диван","диваны","m","sofa, divan",10
"дом","дома","m","casa",11
"здание","здания","n","edificio",16
"имя","имена","n","nombre",12
"история","истории","f","historia",5
"карандаш","карандаши","m","lápiz",8
"кино","кино","n","cine",10
"кошка","кошки","f","gata",8
"лампа","лампы","f","lámpara",6
"лицо","лица","n","cara",4
"ложка","ложки","f","cuchara",11
"лошадь","лошади","f","caballo",11
"любовь","-","f","amor",8
"масло","-","n","aceite, manteca",4
"мебель","-","f","mueble",6
"метро","метро","n","subte, metro",15
"молоко","-","n","leche",6
"море","моря","n","mar",7
"музей","музеи","m","museo",15
"мясо","-","n","carne",11
"мяч","мячи","m","pelota",9
"неделя","недели","f","semana",9
"ненависть","-","f","odio",9
"нож","ножи","m","cuchillo",6
"ночь","ночи","f","noche",9
"обувь","-","f","calzado",9
"пианино","пианино","n","piano",10
"посуда","-","f","vajilla",9
"ракета","ракеты","f","cohete",9
"рука","руки","f","mano",11
"сахар","сахара","m","azucar",10
"словарь","словари","m","diccionario",7
"собака","собаки","f","perro",8
"соль","соли","f","sal",9
"стол","столы","m","mesa",5
"стул","стулья","m","silla",11
"суп","супы","m","sopa",9
"счастье","-","n","felicidad, suerte",9
"тарелка","тарелки","f","plato",10
"телефон","телефоны","m","teléfono",11
"теннис","-","m","tenis",4
"урок","уроки","m","lección",7
"футбол","-","m","fútbol",4
"чашка","чашки","f","taza",11
