"singular","plural","gender","translation","mistakes"
"-","Eltern","p","padres",1.0
"-","Ferien","p","vacaciones",4.0
"-","Geschwister","p","hermanos",1.0
"-","Kenntnisse","p","conocimientos",1.0
"-","Kosten","p","costos",1.0
"-","Leute","p","gente",1.0
"-","Pommes frites","p","papas fritas",1.0
"-","Schwiegereltern","p","suegros, padres políticos",1.0
"Abend","Abende","m","tarde, noche, velada",1.0
"Abendessen","Abendessen","n","cena",1.0
"Abhilfe","-","f","remedio, auxilio",1.0
"Absage","Absagen","f","respuesta negativa",11.0
"Abschied","Abschiede","m","despedida",1.0
"Abschiedsfeier","Abschiedsfeiern","f","fiesta de despedida",1.0
"Abschiedsfest","Abschiedsfeste","n","fiesta de despedida",1.0
"Abschreiben","-","n","transcripción, copia",9.0
"Abschreibung","Abschreibungen","f","deducción, amortización, desvalorización",9.0
"Absender","Absender","m","remitente (m)",4.0
"Absenderin","Absenderinnen","f","remitente (f)",1.0
"Abstand","Abstände","m","distancia, diferencia",1.0
"Absturz","Abstürze","m","caída, accidente aéreo",1.0
"Adjektiv","Adjektive","n","adjetivo",1.0
"Adler","Adler","m","águila",1.0
"Adresse","Adressen","f","dirección",1.0
"Adverb","Adverbien","n","adverbio",1.0
"Ahnung","Ahnungen","f","idea",1.0
"Akku","Akkus","m","acumulador, batería",8.0
"Akkusativ","Akkusative","m","acusativo",1.0
"Aktivität","Aktivitäten","f","actividad",1.0
"Aktualität","-","f","actualidad",1.0
"Albtraum","Albträume","m","pesadilla",1.0
"Alkohol","Alkohole","m","alcohol",1.0
"Allee","Alleen","f","avenida",1.0
"Allergie","Allergien","f","alergia",1.0
"Alter","-","n","edad",1.0
"Ameise","Ameisen","f","hormiga",1.0
"Ampel","Ampeln","f","semáforo",1.0
"Amt","Ämter","n","cargo, obligaciones, departamento, central",4.0
"Anfrage","Anfragen","f","pregunta, consulta, interpelación",1.0
"Angabe","Angaben","f","dato, indicación",1.0
"Angebot","Angebote","n","oferta",2.0
"Angehörige","Angehörigen","mf","pariente, miembro, militante",1.0
"Angst","Ängste","f","miedo",1.0
"Anhang","Anhänge","m","apéndice, adjunto",1.0
"Ankunft","-","f","llegada",1.0
