"word","translation","mistakes"
"Eltern","padres",1
"Ferien","vacaciones",6
"Geschwister","hermanos",1
"Kenntnisse","conocimientos",2
"Kosten","costos",1
"Leute","gente",1
"Pommes frites","papas fritas",1
"Schwiegereltern","suegros, padres políticos",1
"Abend","tarde, noche, velada",1
"Abendessen","cena",1
"Abhilfe","remedio, auxilio",1
"Abschied","despedida",1
"Abschiedsfeier","fiesta de despedida",1
"Abschiedsfest","fiesta de despedida",1
"Absender","remitente (m)",4
"Absenderin","remitente (f)",1
"Abstand","distancia, diferencia",1
"Absturz","caída, accidente aéreo",1
"Adjektiv","adjetivo",1
"Adler","águila",1
"Adresse","dirección",1
"Adverb","adverbio",1
"Ahnung","idea",1
"Akku","acumulador, batería",9
"Akkusativ","acusativo",1
"Aktivität","actividad",1
"Aktualität","actualidad",1
"Albtraum","pesadilla",1
"Alkohol","alcohol",1
"Allee","avenida",1
"Allergie","alergia",2
"Alter","edad",1
"Ameise","hormiga",1
"Ampel","semáforo",1
"Amt","cargo, obligaciones, departamento, central",3
"Anfrage","pregunta, consulta, interpelación",1
"Angabe","dato, indicación",1
"Angebot","oferta",2
"Angehörige","pariente, miembro, militante",1
"Angst","miedo",1
"Anhang","apéndice, adjunto",1
"Ankunft","llegada",1
"Anlage","instalación",1
"Anleitung","dirección, instrucciones",1
"Anliegen","deseo, petición, ruego",1
"Anmeldung","aviso, inscripción, declaración",1
"Anmerkung","observación, advertencia",1
"Antenne","antena",1
"Antonym","antónimo",2
"Antrag","solicitud",1
"Antwort","respuesta",2
"Anwalt","abogado",1
"Anwohner","vecino, residente",1
"Anwohnerin","vecina, residenta",1
"Anwältin","abogada",1
"Apfel","manzana",1
"Apokalypse","apocalipsis",1
"Apotheke","farmacia",1
"Apparat","aparato",1
"April","abril",1
"Arbeit","trabajo",1
"Art","clase",1
"Arterie","arteria",1
"Artikel","artículo",1
"Arzt","médico",1
"Asylant","asilado",1
"Asylantin","asilada",1
"Atmen","respiración",4
"Attest","certificado médico",11
"Aufenthalt","residencia",1
"Aufenthaltstitel","título de residencia",1
"Aufgabe","tarea",1
"Aufgang","subida, salida",1
"Aufzug","ascensor, elevador",1
"Auge","ojo",1
"August","agosto",2
"Ausbildung","formación",1
"Ausdruck","expresión",1
"Ausfahrt","salida vehiculo",1
"Ausführung","realización, ejecución, modelo, versión",1
"Ausgang","salida",1
"Ausland","extranjero (país)",1
"Auslegung","interpretación, comentario",1
"Ausländer","extranjero",1
"Ausländerbehörde","autoridad de extranjería",1
"Ausländerin","extranjera",1
"Ausmaß","dimensión, magnitud",2
"Ausweis","documento",1
"Auszug","mudanza",1
"Auto","auto",1
"Autor","autor",1
"Autorin","autora",1
"Baby","bebé",1
"Backofen","horno",1
"Bad","baño",1
"Badewanne","bañera",1
"Bahn","ferrocarril",1
"Bahnhof","estación de tren",1
"Ball","pelota, balón",1
"Ballast","carga, lastre",7
"Ballon","globo aerostático, globo",6
"Banane","banana",1
"Bank","banco",1
"Banknote","billete de banco",1
"Bar","bar",3
"Bargeld","dinero en efectivo",1
"Batterie","batería, pila",1
"Bau","construcción",2
"Baum","árbol",1
"Bedarf","necesidad, falta",1
"Bedeutung","significado",1
"Bedienungsanleitung","instrucciones de manejo",1
"Befehl","orden, mandato, comando",2
"Beginn","comienzo, inicio, principio",8
"Begleiter","acompañante",1
"Behörde","autoridad, administración",1
"Bein","pierna",1
"Beispiel","ejemplo",1
"Bekannte","conocido",1
"Bekanntschaft","relación amistosa",1
"Bekleidung","vestimenta, ropa",1
"Bemerkung","comentario, observación",1
"Benzin","nafta",1
"Beratung","consejo, asesoramiento",1
"Bereich","rango, zona, sector, terreno",1
"Berg","montaña, monte",2
"Beruf","profesión",1
"Berufserfahrung","experiencia profesional",1
"Bescheid","información, notificación, noticia",2
"Bescheinigung","certificado oficial",1
"Beschleunigung","aceleración",1
"Beschäftigung","ocupación, actividad, trabajo",1
"Besserung","mejora, mejoría, restablecimiento",11
"Besteck","cubiertos",1
"Bestellung","encargo, pedido",1
"Besucher","visitante",1
"Betrag","suma, importe, total",5
"Betreff","asunto",1
"Betreuung","asistencia, responsabilidad",1
"Betrieb","empresa, funcionamiento",2
"Betrug","engaño, estafa, fraude, tranpa",7
"Bett","cama",1
"Bewegung","movimiento",1
"Bewohner","habitante, ocupante",1
"Biene","abeja",1
"Bier","cerveza",1
"Bild","cuadro",1
"Bildung","educación",1
"Birne","pera",1
"Blatt","hoja",1
"Blech","chapa de metal",4
"Bleibe","alojamiento",1
"Bleistift","lápiz",2
"Blick","mirada, vistazo, ojeada",1
"Blitz","rayo, relámpago",1
"Blume","flor",1
"Blumentopf","maceta",1
"Blut","sangre",1
"Boden","suelo",1
"Bogen","arco",1
"Bohrer","taladro",1
"Bohrmaschine","taladradora",1
"Bombe","bomba",1
"Boot","bote",1
"Bosheit","maldad, malicia",5
"Brand","gangrena, necrosis",1
"Brand","fuego, incendio, sed",1
"Brandwunde","quemadura",1
"Bratwurst","salchicha frita",1
"Brei","papilla, puré",10
"Brennstoff","combustible",1
"Brief","carta",1
"Brille","lentes, gafas",1
"Bronze","bronce",1
"Brot","pan",1
"Bruder","hermano",1
"Brunnen","pozo, fuente, manantial",1
"Brust","pecho",1
"Brücke","puente",1
"Buch","libro",1
"Buchhaltung","contaduría, teneduría de libros",1
"Bulle","toro",1
"Bullenkalb","ternero",1
"Bundesland","estado federado",1
"Bundesrepublik Deutschland","República Federal de Alemania",1
"Bundeswehr","ejército alemán",1
"Bus","autobus",1
"Butter","manteca",6
"Bär","oso",1
"Bücherregal","estantería de libros",1
"Büro","oficina",2
"Cafeteria","cafetería",1
"Chef","Jefe",1
"Chefin","Jefa",1
"Chemikalie","sustancia química",1
"Club","club",1
"Computer","computadora",1
"Cousin","primo",1
"Cousine","prima",1
"Currywurst","salchicha con curry",1
"Dach","techo, toldo",1
"Damm","terraplén, dique",2
"Datenwissenschaft","ciencia de datos",1
"Dativ","dativo",1
"Decke","techo interno, manta",1
"Deklination","declinación",1
"Demokratie","democracia",1
"Demonstration","demostración, manifestación",2
"Design","diseño",3
"Detail","detalle",1
"Deutsch","idioma alemán",1
"Deutschland","Alemania",1
"Dezember","diciembre",1
"Dieb","ladrón",1
"Diebin","ladrona",1
"Dienst","servicio, función",3
"Dienstag","martes",1
"Ding","cosa",2
"Diplom","diploma",2
"Diskriminierung","discriminación",1
"Dokument","documento",2
"Donner","trueno",1
"Donnerstag","jueves",1
"Drache","dragon",1
"Dreck","mugre, porquería, barro",1
"Droge","droga",1
"Drohne","zángano",1
"Drucker","impresora",1
"Durst","sed",1
"Dusche","ducha",1
"E-Mail","e-mail",1
"Echtzeit","tiempo real",3
"Ecke","esquina",1
"Ehe","matrimonio",1
"Ehefrau","esposa",1
"Ehemann","esposo",1
"Ei","huevo",1
"Eiche","roble",11
"Eichhörnchen","ardilla",1
"Eilmeldung","comunucación urgente",1
"Eindruck","impresión, sensación, huella",1
"Einfahrt","entrada vehiculo",1
"Eingang","entrada",1
"Eingangsbestätigung","acuse de recibo",1
"Einheit","unidad",4
"Einkommen","ingresos",1
"Einlagensicherung","garantía de depósito",1
"Einleger","depositante",1
"Einlegerin","depositante",1
"Einzug","recaudación, entrada, ingreso",1
"Eis","hielo",1
"Eisbär","oso polar",1
"Eiscreme","helado",1
"Eisen","hierro",1
"Eisenzeit","edad de hierro",1
"Elektrizität","electricidad",1
"Empfang","recepción, destino",1
"Empfänger","destinatario",2
"Empfängerin","destinataria",2
"Ende","final, fin, extremo",1
"Engel","angel",1
"Englisch","inglés",1
"Ente","pato",1
"Entfernung","distancia, eliminación, alejamiento",1
"Entfremdung","distancia",1
"Entscheidung","decisión",1
"Entspannung","relajación, distensión",1
"Entsprechung","analogía, concordancia",1
"Entwickler","desarrollador",1
"Entwicklerin","desarrolladora",1
"Entwicklung","desarrollo, evolución",1
"Erde","planeta tierra",1
"Erfahrung","experiencia",1
"Erfolg","éxito, resultado",1
"Ergebnis","resultado, consecuencia",4
"Erklärung","explicación, razón, declaración, comentario",1
"Erlaubnis","permiso",10
"Erläuterung","explicación, comentario",1
"Ersatz","sustitución",1
"Erwachsene","adulto",9
"Erwartung","esperanza, expectativa",1
"Eröffnung","apertura, inauguración, publicación",1
"Esel","burro",1
"Eselin","burra",1
"Essen","comida",1
"Etage","piso, planta",1
"Event","evento",1
"Explosion","explosión",1
"Fahne","bandera",1
"Fahrkarte","boleto",1
"Fahrrad","bicicleta",1
"Fahrschein","boleto",1
"Fahrstreifen","carril",1
"Fall","caso",1
"Familie","familia",1
"Familienangehöriger","miembro de la familia",1
"Farbe","color",1
"Faulenzer","holgazán",1
"Faulenzerin","holgazana",1
"Faust","puño",1
"Februar","febrero",1
"Feedback","feedback",1
"Fehler","error",1
"Fell","piel",2
"Femininum","género femenino",1
"Fenster","ventana",1
"Fernreise","viaje de larga distancia",1
"Fernseher","televisor",1
"Fest","fiesta, festival",1
"Fett","grasa",6
"Feuchtigkeit","humedad",1
"Feuer","fuego",1
"Feuerwehr","bombero",1
"Feuerwerk","fuegos artificiales",1
"Feuerzeug","encendedor, mechero",1
"Fieber","fiebre",1
"Finale","final (competencia)",1
"Firma","empresa",1
"Fisch","pescado",2
"Flair","encanto, ambiente",9
"Flasche","botella",1
"Fledermaus","murciélago",1
"Fleisch","carne",1
"Fliege","mosca",1
"Flinte","escopeta",1
