"singular","plural","gender","translation","mistakes"
"-","Eltern","p","padres",1
"-","Ferien","p","vacaciones",6
"-","Geschwister","p","hermanos",1
"-","Kenntnisse","p","conocimientos",2
"-","Kosten","p","costos",1
"-","Leute","p","gente",1
"-","Pommes frites","p","papas fritas",1
"-","Schwiegereltern","p","suegros, padres políticos",1
"Abend","Abende","m","tarde, noche, velada",1
"Abendessen","Abendessen","n","cena",1
"Abhilfe","-","f","remedio, auxilio",1
"Abschied","Abschiede","m","despedida",1
"Abschiedsfeier","Abschiedsfeiern","f","fiesta de despedida",1
"Abschiedsfest","Abschiedsfeste","n","fiesta de despedida",1
"Absender","Absender","m","remitente (m)",6
"Absenderin","Absenderinnen","f","remitente (f)",3
"Abstand","Abstände","m","distancia, diferencia",2
"Absturz","Abstürze","m","caída, accidente aéreo",1
"Adjektiv","Adjektive","n","adjetivo",1
"Adler","Adler","m","águila",1
"Adresse","Adressen","f","dirección",1
"Adverb","Adverbien","n","adverbio",1
"Ahnung","Ahnungen","f","idea",1
"Akku","Akkus","m","acumulador, batería",15
"Akkusativ","Akkusative","m","acusativo",1
"Aktivität","Aktivitäten","f","actividad",1
"Aktualität","-","f","actualidad",1
"Albtraum","Albträume","m","pesadilla",1
"Alkohol","Alkohole","m","alcohol",2
"Allee","Alleen","f","avenida",1
"Allergie","Allergien","f","alergia",1
"Alter","-","n","edad",1
"Ameise","Ameisen","f","hormiga",1
"Ampel","Ampeln","f","semáforo",1
"Amt","Ämter","n","cargo, obligaciones, departamento, central",4
"Anfrage","Anfragen","f","pregunta, consulta, interpelación",1
"Angabe","Angaben","f","dato, indicación",1
"Angebot","Angebote","n","oferta",3
"Angehörige","Angehörigen","mf","pariente, miembro, militante",1
"Angst","Ängste","f","miedo",1
"Anhang","Anhänge","m","apéndice, adjunto",1
"Ankunft","-","f","llegada",1
"Anlage","Anlagen","f","instalación",1
"Anleitung","Anleitungen","f","dirección, instrucciones",1
"Anliegen","Anliegen","n","deseo, petición, ruego",1
"Anmeldung","Anmeldungen","f","aviso, inscripción, declaración",1
"Anmerkung","Anmerkungen","f","observación, advertencia",1
"Antenne","Antennen","f","antena",1
"Antonym","Antonyme","n","antónimo",5
"Antrag","Anträge","m","solicitud",1
"Antwort","Antworten","f","respuesta",2
"Anwalt","Anwälte","m","abogado",1
"Anwohner","Anwohner","m","vecino, residente",1
"Anwohnerin","Anwohnerinnen","f","vecina, residenta",1
"Anwältin","Anwältinnen","f","abogada",1
"Apfel","Äpfel","m","manzana",1
"Apokalypse","-","f","apocalipsis",1
"Apotheke","Apotheken","f","farmacia",1
"Apparat","Apparate","m","aparato",1
"April","Aprile","m","abril",1
"Arbeit","Arbeiten","f","trabajo",1
"Art","Arten","f","clase",1
"Arterie","Arterien","f","arteria",1
"Artikel","Artikel","m","artículo",1
"Arzt","Ärzte","m","médico",1
"Asylant","Asylanten","m","asilado",1
"Asylantin","Asylantinnen","f","asilada",1
"Atmen","-","n","respiración",5
"Aufenthalt","Aufenthalte","m","residencia",1
"Aufenthaltstitel","Aufenthaltstitel","m","título de residencia",1
"Aufgabe","Aufgaben","f","tarea",1
"Aufgang","Aufgänge","m","subida, salida",1
"Aufzug","Aufzüge","m","ascensor, elevador",1
"Auge","Augen","n","ojo",1
"August","Auguste","m","agosto",1
"Ausbildung","Ausbildungen","f","formación",1
"Ausdruck","-","m","expresión",1
"Ausfahrt","Ausfahrten","f","salida vehiculo",1
"Ausführung","Ausführungen","f","realización, ejecución, modelo, versión",6
"Ausgang","Ausgänge","m","salida",1
"Ausland","-","n","extranjero (país)",1
"Auslegung","Auslegungen","f","interpretación, comentario",1
"Ausländer","Ausländer","m","extranjero",1
"Ausländerbehörde","Ausländerbehörden","f","autoridad de extranjería",1
"Ausländerin","Ausländerinnen","f","extranjera",1
"Ausmaß","Ausmaße","n","dimensión, magnitud",1
"Ausweis","Ausweise","m","documento",1
"Auszug","Auszüge","m","mudanza",1
"Auto","Autos","n","auto",1
"Autor","Autoren","m","autor",1
"Autorin","Autorinnen","f","autora",1
"Baby","Babys","n","bebé",1
"Backofen","Backöfen","m","horno",1
"Bad","Bäder","n","baño",1
"Badewanne","Badewannen","f","bañera",1
"Bahn","Bahnen","f","ferrocarril",1
"Bahnhof","Bahnhöfe","m","estación de tren",1
"Ball","Bälle","m","pelota, balón",1
"Ballon","Ballons/Ballone","m","globo aerostático, globo",9
"Banane","Bananen","f","banana",1
"Bank","Bänke","f","banco",1
"Banknote","Banknoten","f","billete de banco",1
"Bar","Bars","f","bar",4
"Bargeld","-","n","dinero en efectivo",1
"Batterie","Batterien","f","batería, pila",3
"Bau","-","m","construcción",1
"Baum","Bäume","m","árbol",1
"Bedarf","-","m","necesidad, falta",1
"Bedeutung","Bedeutungen","f","significado",1
"Bedienungsanleitung","Bedienungsanleitungen","f","instrucciones de manejo",1
"Befehl","Befehle","m","orden, mandato, comando",2
"Begleiter","Begleiter","m","acompañante",1
"Behörde","Behörden","f","autoridad, administración",1
"Bein","Beine","n","pierna",1
"Beispiel","Beispiele","n","ejemplo",1
"Bekannte","Bekannten","mfn","conocido",1
"Bekanntschaft","Bekanntschaften","f","relación amistosa",1
"Bekleidung","Bekleidungen","f","vestimenta, ropa",1
"Bemerkung","Bemerkungen","f","comentario, observación",1
"Benzin","Benzine","n","nafta",1
"Beratung","Beratungen","f","consejo, asesoramiento",1
"Bereich","Bereiche","m","rango, zona, sector, terreno",3
"Berg","Berge","m","montaña, monte",2
"Beruf","Berufe","m","profesión",1
"Berufserfahrung","Berufserfahrungen","f","experiencia profesional",1
"Bescheid","Bescheide","m","información, notificación, noticia",3
"Bescheinigung","Bescheinigungen","f","certificado oficial",1
"Beschleunigung","Beschleunigungen","f","aceleración",1
"Beschäftigung","Beschäftigungen","f","ocupación, actividad, trabajo",1
"Besteck","Bestecke","n","cubiertos",1
"Bestellung","Bestellungen","f","encargo, pedido",1
"Besucher","Besucher","m","visitante",1
"Betrag","Beträge","m","suma, importe, total",6
"Betreff","Betreffe","m","asunto",3
"Betreuung","-","f","asistencia, responsabilidad",1
"Betrieb","Betriebe","m","empresa, funcionamiento",1
"Bett","Betten","n","cama",1
"Bewegung","Bewegungen","f","movimiento",1
"Bewohner","Bewohner","m","habitante, ocupante",1
"Biene","Bienen","f","abeja",1
"Bier","Biere","n","cerveza",1
"Bild","Bilder","n","cuadro",1
"Bildung","-","f","educación",1
"Birne","Birnen","f","pera",1
"Blatt","Blätter","n","hoja",1
"Blech","Bleche","n","chapa de metal",2
"Bleibe","Bleiben","f","alojamiento",1
"Bleistift","Bleistifte","m","lápiz",4
"Blick","Blicke","m","mirada, vistazo, ojeada",1
"Blitz","Blitze","m","rayo, relámpago",1
"Blume","Blumen","f","flor",1
"Blumentopf","Blumentöpfe","m","maceta",1
"Blut","-","n","sangre",1
"Boden","Böden","m","suelo",1
"Bogen","Bogen","m","arco",1
"Bohrer","Bohrer","m","taladro",1
"Bohrmaschine","Bohrmaschinen","f","taladradora",1
"Bombe","Bomben","f","bomba",1
"Boot","Boote","n","bote",1
"Bosheit","Bosheiten","f","maldad, malicia",5
"Brand","-","m","gangrena, necrosis",1
"Brand","Brände","m","fuego, incendio, sed",1
"Brandwunde","Brandwunden","f","quemadura",2
"Bratwurst","Bratwürste","f","salchicha frita",1
"Brei","Breie","m","papilla, puré",11
"Brennstoff","Brennstoffe","m","combistible",1
"Brief","Briefe","m","carta",1
"Brille","Brillen","f","lentes, gafas",1
"Bronze","Bronzen","f","bronce",1
"Brot","Brote","n","pan",1
"Bruder","Brüder","m","hermano",1
"Brunnen","Brunnen","m","pozo, fuente, manantial",1
"Brust","Brüste","f","pecho",1
"Brücke","Brücken","f","puente",1
"Buch","Bücher","n","libro",1
"Buchhaltung","-","f","contaduría, teneduría de libros",1
"Bulle","Bullen","m","toro",1
"Bullenkalb","Bullenkälber","n","ternero",1
"Bundesland","Bundesländer","n","estado federado",1
"Bundesrepublik Deutschland","-","f","República Federal de Alemania",1
"Bundeswehr","-","f","ejército alemán",1
"Bus","Busse","m","autobus",1
"Butter","-","f","manteca",7
"Bär","Bäre/Bären","m","oso",1
"Bücherregal","Bücherregale","n","estantería de libros",1
"Büro","Büros","n","oficina",4
"Cafeteria","Cafeterien","f","cafetería",1
"Chef","Chefs","m","Jefe",1
"Chefin","Chefinnen","f","Jefa",1
"Chemikalie","Chemikalien","f","sustancia química",1
"Club","Clubs","m","club",1
"Computer","Computer","m","computadora",1
"Cousin","Cousins","m","primo",1
"Cousine","Cousinen","f","prima",1
"Currywurst","Currywürste","f","salchicha con curry",1
"Dach","Dächer","n","techo, toldo",1
"Damm","Dämme","m","terraplén, dique",1
"Datenwissenschaft","Datenwissenschaften","f","ciencia de datos",1
"Dativ","Dative","m","dativo",1
"Decke","Decken","f","techo interno, manta",1
"Deklination","Deklinationen","f","declinación",1
"Demokratie","Demokratien","f","democracia",1
"Demonstration","Demonstrationen","f","demostración, manifestación",6
"Design","Designs","n","diseño",4
"Detail","Details","n","detalle",1
"Deutsch","-","n","idioma alemán",1
"Deutschland","-","n","Alemania",1
"Dezember","Dezember","m","diciembre",1
"Dieb","Diebe","m","ladrón",1
"Diebin","Diebinnen","f","ladrona",1
"Dienst","Dienste","m","servicio, función",3
"Dienstag","Dienstage","m","martes",1
"Ding","Dinge","n","cosa",2
"Diplom","Diplome","n","diploma",3
"Diskriminierung","Diskriminierungen","f","discriminación",1
"Dokument","Dokumente","n","documento",1
"Donner","Donner","m","trueno",1
"Donnerstag","Donnerstage","m","jueves",1
"Drache","Drachen","m","dragon",1
"Dreck","-","m","mugre, porquería, barro",1
"Droge","Drogen","f","droga",1
"Drohne","Drohnen","f","zángano",1
"Drucker","Drucker","m","impresora",1
"Durst","-","m","sed",1
"Dusche","Duschen","f","ducha",1
"E-Mail","E-Mail","f","e-mail",1
"Echtzeit","Echtzeiten","f","tiempo real",4
"Ecke","Ecken","f","esquina",1
"Ehe","Ehen","f","matrimonio",1
"Ehefrau","Ehefrauen","f","esposa",1
"Ehemann","Ehemänner","m","esposo",1
"Ei","Eier","n","huevo",1
"Eichhörnchen","Eichhörnchen","n","ardilla",1
"Eilmeldung","Eilmeldungen","f","comunucación urgente",1
"Eindruck","Eindrücke","m","impresión, sensación, huella",1
"Einfahrt","Einfahrten","f","entrada vehiculo",1
"Eingang","Eingänge","m","entrada",1
"Eingangsbestätigung","Eingangsbestätigungen","f","acuse de recibo",1
"Einheit","Einheiten","f","unidad",8
