"adjective","comparativo","superlativo","translation"
"abgespannt","","","cansado, fatigado"
"allein","","","solo, a solas"
"allgemein","","","general, universal, común"
"alt","älter","am ältesten","viejo"
"anstrengend","","","cansador, agotador, duro"
"anwesend","","","presente, asistente"
"arm","ärmer","am ärmsten","pobre"
"behindert","","","minusválido, discapacitado, impedido"
"beliebt","","","estimado, apreciado"
"berühmt","","","famoso, célebre"
"besondere","","","especial, singular, particular"
"bewusst","","","conciente, intencionado"
"billig","","","barato"
"bisschen","","","un poco"
"bloß","","","descubierto, desnudo, puro"
"breit","breiter","am breitesten","amplio, ancho"
"dick","","","grueso, gordo"
"direkt","","","directo, inmediato"
"dreckig","","","sucio"
"dunkel","dunkler","am dunkelsten","oscuro"
"durchschnittlich","","","medio, promedio"
"edel","edler","am edelsten","noble"
"ehrlich","","","sincero"
"eigen","","","propio"
"einfach","","","simple, fácil"
"einsam","","","solo, abandonado, aislado"
"einzig","","","único, solo"
"einzigartig","","","único, sin par"
"erforderlich","erforderlicher","am erforderlichsten","necesario"
"erschöpft","","","cansado, agotado, fatigado"
"exakt","","","preciso, exacto"
"fantastisch","","","fantástico"
"faul","fauler","am faulsten","perezoso"
"fern","","","lejos, de lejos"
"folgend","","","siguiente"
"frei","","","libre"
"fremd","","","extraño, ajeno, extranjero"
"fröhlich","","","alegre"
"frühzeitig","","","temprano"
"furchtbar","","","terrible, horrible"
"ganz","","","todo, entero"
"gefährlich","","","peligroso"
"gegenwärtig","","","actual, presente"
"genug","","","exacto, justo, exactamente"
"gerade","","","derecho, recto"
"gerecht","","","justo, merecido"
"gesamt","","","todo, total"
"gesetzlich","","","legal, legítimo"
"gesund","","","sano, saludable"
"gewiss","","","cierto, seguro"
"gleich","","","igual, identico"
"glücklich","","","feliz, afortunado"
"grausam","","","cruel, brutal"
"groß","größer","am größten","grande"
"gut","besser","am besten","bueno"
"heimisch","","","familiarizado, nacional"
"heiter","","","alegre, divertido"
"heiß","","","caliente"
"hell","","","claro"
"hoch","höher","am höchsten","alto"
"hässlich","","","feo"
"häufig","","","frecuente"
"höflich","","","cortés, amable"
"hübsch","hübscher","am hübschesten","lindo"
"innerhalb","","","dentro"
"intelligent","","","inteligente"
"interessant","","","interesante"
"jung","jünger","am jüngsten","joven"
"kalt","kälter","am kältesten","frio"
"klar","","","claro"
"klein","","","pequeño"
"klug","klüger","am klügsten","inteligente"
"korrekt","","","correcto"
"krank","kränker","am kränksten","enfermo"
"kräftig","","","fuerte"
"kurz","kürzer","am kürzesten","corto"
"lang","länger","am längsten","largo"
"langsam","langsamer","am langsamsten","lento"
"laut","","","alto, fuerte"
"lecker","","","rico"
"leer","","","vacio"
"leicht","leichter","am leichtesten","liviano, fácil"
"letzte","","","último, final"
"lieb","lieber","am liebsten","querido"
"link","","","fraudulento, engannoso"
"möglich","","","posible"
"müde","","","cansado"
"mühelos","","","fácil"
"nah","näher","am nächsten","cerca"
"neu","","","nuevo"
"niedrig","","","bajo, humilde"
"normal","","","normal"
"notwendig","","","necesario, inevitable"
"nötig","","","necesario, preciso"
"nützlich","","","útil, provechoso"
"perfekt","","","perfecto"
"recht","","","exacto, verdadero, correcto"
"reich","","","rico"
"richtig","","","correcto, apropiado"
"ruhig","","","tranquilo, quieto"
"sauber","","","limpio, aseado"
"schlecht","","","mal"
"schmutzig","","","sucio"
"schnell","schneller","am schnellsten","rapido"
"schrecklich","","","horrible, horroroso"
"schwierig","","","difícil, complicado"
"schön","","","bello, hermoso, bonito"
"sehr","mehr","am meisten","demasiado"
"sehr","mehr","am meisten","mucho"
"selten","","","raro, curioso"
"seltsam","","","extraño, singular"
"sicher","","","seguro"
"spät","","","tardío"
"stark","","","fuerte"
"still","stiller","am stillsten","tranquilo, silencioso, quieto"
"stundenlang","","","de varias horas"
"süß","süßer","am süßesten","dulce"
"teuer","teurer","am teuersten","caro"
"tief","","","profundo, hondo, bajo"
"tot","","","muerto"
"treffend","","","justo, adecuado"
"ungefähr","","","casi, aproximadamente"
"unglücklich","","","infeliz, triste"
"unmöglich","","","imposible"
"unterschiedlich","","","diferente, distinto"
"verrückt","","","loco"
"viel","","","demasiado, mucho"
"vollkommen","","","perfecto"
"wahrscheinlich","","","probable"
"warm","","","caliente"
"weit","weiter","am weitesten","extenso, ancho, lejano"
"wenig","","","poco"
"wichtig","","","importante"
"ziemlich","","","bastante"
"zufrieden","","","contento, satisfecho"
